iter	Passed	Remaining
535	10866	9406
536	10886	9386
537	10906	9366
538	10925	9344
539	10945	9323
540	10965	9303
541	10986	9283
542	11007	9263
543	11026	9243
544	11047	9223
545	11067	9202
546	11088	9183
547	11107	9162
548	11129	9142
549	11148	9121
550	11168	9100
551	11187	9079
552	11208	9059
553	11228	9039
554	11250	9020
555	11270	9000
556	11291	8980
557	11314	8962
558	11335	8942
559	11362	8927
560	11383	8907
561	11402	8886
562	11424	8867
563	11446	8848
564	11468	8829
565	11491	8811
566	11512	8791
567	11538	8775
568	11559	8756
569	11580	8736
570	11604	8718
571	11625	8699
572	11645	8678
573	11670	8661
574	11694	8644
575	11716	8624
576	11737	8604
577	11759	8585
578	11779	8565
579	11800	8545
580	11820	8524
581	11840	8504
582	11862	8484
583	11882	8464
584	11906	8446
585	11925	8425
586	11944	8404
587	11964	8383
588	11986	8363
589	12005	8342
590	12026	8322
591	12046	8302
592	12067	8282
593	12088	8262
594	12108	8241
595	12127	8220
596	12147	8200
597	12167	8179
598	12186	8158
599	12208	8139
600	12227	8117
601	12250	8099
602	12272	8079
603	12290	8058
604	12310	8037
605	12330	8016
606	12349	7995
607	12370	7975
608	12390	7955
609	12412	7935
610	12433	7915
611	12452	7894
612	12474	7875
613	12493	7854
614	12513	7833
615	12534	7813
616	12556	7794
617	12576	7773
618	12597	7754
619	12618	7734
620	12640	7714
621	12664	7696
622	12691	7680
623	12717	7663
624	12738	7642
625	12759	7623
626	12782	7604
627	12803	7584
628	12822	7563
629	12842	7542
630	12862	7521
631	12882	7500
632	12902	7480
633	12922	7460
634	12943	7439
635	12965	7420
636	12988	7401
637	13011	7382
638	13035	7364
639	13056	7344
640	13076	7323
641	13095	7302
642	13115	7281
643	13135	7261
644	13160	7243
645	13179	7222
646	13200	7202
647	13220	7181
648	13240	7160
649	13259	7139
650	13284	7121
651	13320	7109
652	13358	7098
653	13398	7088
654	13434	7076
655	13467	7062
656	13489	7042
657	13521	7027
658	13545	7009
659	13568	6989
660	13588	6969
661	13610	6949
662	13634	6930
663	13654	6909
664	13675	6888
665	13702	6871
666	13735	6857
667	13754	6836
668	13776	6815
669	13797	6795
670	13821	6776
671	13842	6756
672	13863	6735
673	13884	6715
674	13903	6694
675	13924	6673
676	13944	6653
677	13965	6632
678	13984	6611
679	14004	6590
680	14023	6568
681	14042	6547
682	14061	6526
683	14085	6507
684	14106	6486
685	14125	6465
686	14147	6445
687	14176	6429
688	14197	6408
689	14217	6387
690	14237	6366
691	14259	6346
692	14281	6326
693	14300	6305
694	14319	6284
695	14339	6263
696	14357	6241
697	14374	6219
698	14391	6197
699	14409	6175
700	14425	6152
701	14443	6131
702	14460	6109
703	14478	6087
704	14499	6066
705	14517	6045
706	14535	6023
707	14552	6001
708	14574	5981
709	14591	5959
710	14610	5938
711	14630	5918
712	14648	5896
713	14664	5874
714	14683	5852
715	14701	5831
716	14718	5809
717	14736	5788
718	14756	5767
719	14773	5745
720	14794	5725
721	14812	5703
722	14831	5682
723	14850	5661
724	14868	5639
725	14885	5617
726	14902	5596
727	14919	5574
728	14937	5552
729	14956	5531
730	14974	5510
731	14990	5488
732	15009	5467
733	15027	5445
734	15045	5424
735	15061	5402
736	15079	5381
737	15097	5359
738	15113	5337
739	15131	5316
740	15147	5294
741	15166	5273
742	15185	5252
743	15203	5231
744	15222	5210
745	15239	5188
746	15257	5167
747	15273	5145
748	15291	5124
749	15308	5102
750	15325	5081
751	15343	5060
752	15361	5038
753	15380	5017
754	15399	4997
755	15418	4976
756	15438	4955
757	15456	4934
758	15474	4913
759	15492	4892
760	15511	4871
761	15529	4850
762	15549	4829
763	15569	4809
764	15587	4788
765	15603	4766
766	15621	4745
767	15641	4724
768	15659	4703
769	15677	4682
770	15695	4661
771	15713	4640
772	15730	4619
773	15748	4598
774	15765	4577
775	15783	4556
776	15801	4535
777	15818	4513
778	15836	4492
779	15855	4472
780	15874	4451
781	15896	4431
782	15915	4410
783	15933	4389
784	15953	4369
785	15974	4349
786	15998	4329
787	16023	4310
788	16043	4290
789	16067	4271
790	16088	4251
791	16109	4230
792	16128	4210
793	16149	4189
794	16170	4169
795	16193	4150
796	16215	4130
797	16242	4111
798	16268	4092
799	16291	4072
800	16314	4053
801	16339	4033
802	16371	4016
803	16410	4000
804	16436	3981
805	16469	3964
806	16495	3945
807	16522	3926
808	16553	3908
809	16589	3891
810	16615	3872
811	16638	3852
812	16662	3832
813	16697	3815
814	16725	3796
815	16748	3776
816	16769	3756
817	16793	3736
818	16814	3716
819	16841	3696
820	16870	3678
821	16894	3658
822	16918	3638
823	16940	3618
824	16961	3597
825	16983	3577
826	17005	3557
827	17030	3537
828	17050	3517
829	17076	3497
830	17097	3477
831	17123	3457
832	17146	3437
833	17167	3417
834	17190	3397
835	17212	3376
836	17233	3356
837	17254	3335
838	17274	3314
839	17295	3294
840	17319	3274
841	17340	3254
842	17362	3233
843	17383	3213
844	17402	3192
845	17422	3171
846	17443	3151
847	17466	3130
848	17485	3109
849	17515	3090
850	17537	3070
851	17560	3050
852	17582	3030
853	17615	3011
854	17634	2990
855	17658	2970
856	17679	2950
857	17701	2929
858	17722	2908
859	17745	2888
860	17769	2868
861	17788	2847
862	17812	2827
863	17834	2807
864	17855	2786
865	17877	2766
866	17898	2745
867	17917	2724
868	17937	2704
869	17959	2683
870	17983	2663
871	18016	2644
872	18051	2626
873	18073	2605
874	18094	2584
875	18112	2563
876	18138	2543
877	18160	2523
878	18185	2503
879	18209	2483
880	18231	2462
881	18251	2441
882	18271	2421
883	18291	2400
884	18313	2379
885	18335	2359
886	18354	2338
887	18375	2317
888	18395	2296
889	18415	2276
890	18436	2255
891	18459	2234
892	18480	2214
893	18501	2193
894	18524	2173
895	18544	2152
896	18565	2131
897	18585	2111
898	18608	2090
899	18627	2069
900	18649	2049
901	18673	2028
